COUNTRY_code,Country,SEO,Socio economic objective,MEASURE_id,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period,Value,Flag Codes,Flags
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2012,USD,US Dollar,6,Millions,2010,339.613,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2013,USD,US Dollar,6,Millions,2010,297.028,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2014,USD,US Dollar,6,Millions,2010,284.725,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2015,USD,US Dollar,6,Millions,2010,268.1,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2016,USD,US Dollar,6,Millions,2010,254.38,D,Difference in methodology
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2017,USD,US Dollar,6,Millions,2010,265.953,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS01,Exploration and exploitation of the Earth,DF6,2010 Dollars - Constant prices and PPPs,2018,USD,US Dollar,6,Millions,2010,272.005,D; E; P,Difference in methodology; Estimated value; Provisional value
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2010,USD,US Dollar,6,Millions,2010,184.363,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2011,USD,US Dollar,6,Millions,2010,166.027,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2012,USD,US Dollar,6,Millions,2010,183.229,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2013,USD,US Dollar,6,Millions,2010,177.405,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2014,USD,US Dollar,6,Millions,2010,176.71,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2015,USD,US Dollar,6,Millions,2010,171.347,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2016,USD,US Dollar,6,Millions,2010,150.946,D,Difference in methodology
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2017,USD,US Dollar,6,Millions,2010,220.441,D; P,Difference in methodology; Provisional value
AUS,Australia,NABS02,Environment,DF6,2010 Dollars - Constant prices and PPPs,2018,USD,US Dollar,6,Millions,2010,164.287,D; E; P,Difference in methodology; Estimated value; Provisional value
